index,headline,source_url,publish_date,publisher,crawl_type
91,Singapore confirms first case of Wuhan virus,https://www.channelnewsasia.com/news/singapore/wuhan-virus-pneumonia-singapore-confirms-first-case-12312860,23/01/2020 21:04,Channel News Asia,auto
92,PM Lee says Singapore 'better prepared' for another virus after SARS outbreak,https://www.channelnewsasia.com/news/singapore/wuhan-virus-lee-hsien-loong-singapore-better-prepared-sars-12315048,23/01/2020 22:02,Channel News Asia,auto
93,Wuhan virus: What we know about the fatalities,https://www.channelnewsasia.com/news/asia/wuhan-pneumonia-virus-what-we-know-about-the-fatalities-12314984,23/01/2020 22:12,Channel News Asia,auto
94,Vietnam confirms two cases of Wuhan virus,https://www.channelnewsasia.com/news/asia/vietnam-confirms-two-cases-of-china-wuhan-pneumonia-virus-12315622,23/01/2020 22:42,Channel News Asia,auto
95,"Singapore to expand screening for Wuhan virus to land, sea checkpoints",https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-screening-land-sea-checkpoints-12315360,23/01/2020 22:53,Channel News Asia,auto
96,"Wuhan virus patient's hotel room 'thoroughly disinfected', workers who cleaned room quarantined: Shangri-La Group",https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-confirmed-case-shangri-la-sentosa-12315970,23/01/2020 23:37,Channel News Asia,auto
97,"Singaporeans should be ‘calm but watchful’ after first Wuhan virus case, says PM Lee in Chinese New Year message",https://www.channelnewsasia.com/news/singapore/singaporeans-should-be-calm-but-watchful-after-first-wuhan-virus-12317170,24/01/2020 03:00,Channel News Asia,auto
98,Novel coronavirus in Singapore: What we know about the confirmed cases,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-what-we-know-confirmed-cases-12324270,24/01/2020 05:17,Channel News Asia,manual
99,Nasdaq edges to record as investors monitor China virus,https://www.channelnewsasia.com/news/business/nasdaq-edges-to-record-as-investors-monitor-china-virus-12318372,24/01/2020 05:51,Channel News Asia,auto
100,US investigating second suspected case of Chinese virus,https://www.channelnewsasia.com/news/world/us-investigating-second-suspected-case-of-chinese-virus-12318442,24/01/2020 06:30,Channel News Asia,auto
101,WHO says 'bit too early' to declare coronavirus a global emergency,https://www.channelnewsasia.com/news/asia/who-says-bit-too-early-to-declare-coronavirus-a-global-emergency-12318726,24/01/2020 07:03,Channel News Asia,auto
102,Japan confirms second coronavirus case,https://www.channelnewsasia.com/news/asia/wuhan-virus-pneumona-japan-coronavirus-12319000,24/01/2020 07:43,Channel News Asia,auto
103,"Wuhan virus: Number of cases in China tops 800, death toll hits 26",https://www.channelnewsasia.com/news/asia/wuhan-virus-pneumonia-coronavirus-china-deaths-12319316,24/01/2020 08:42,Channel News Asia,auto
104,South Korea confirms second case of Wuhan virus,https://www.channelnewsasia.com/news/asia/wuhan-virus-south-korea-cases-pneumonia-outbreak-12319838,24/01/2020 09:56,Channel News Asia,auto
105,China's quarantine efforts spread to 13 cities as virus toll climbs; 41 million people affected,https://www.channelnewsasia.com/news/asia/wuhan-virus-china-pneumonia-outbreak-city-shut-12320076,24/01/2020 10:07,Channel News Asia,auto
106,Cirque du Soleil cancels shows in China over Wuhan virus,https://www.channelnewsasia.com/news/asia/cirque-du-soleil-cancels-shows-in-china-over-wuhan-virus-12320102,24/01/2020 10:16,Channel News Asia,auto
107,"Wuhan virus: Temperature screening begins at Woodlands, Tuas and sea checkpoints",https://www.channelnewsasia.com/news/singapore/wuhan-virus-woodlands-tuas-checkpoint-temperature-screening-12319724,24/01/2020 10:20,Channel News Asia,auto
108,Saudi Arabia denies case of Wuhan virus infection,https://www.channelnewsasia.com/news/world/wuhan-virus-saudi-arabia-no-case-12320372,24/01/2020 10:27,Channel News Asia,auto
109,Commentary: Wuhan virus sparks questions over local Chinese officials' disclosure of information,https://www.channelnewsasia.com/news/commentary/wuhan-virus-outbreak-china-beijing-how-upfront-time-info-who-12320546,24/01/2020 11:07,Channel News Asia,auto
110,"China to build 1,000-bed hospital in less than a week to treat virus patients",https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-china-building-1000-bed-hospital-12320942,24/01/2020 11:19,Channel News Asia,auto
111,Gilead assessing potential use of Ebola drug as Wuhan virus treatment,https://www.channelnewsasia.com/news/business/wuhan-virus-treatment-potential-gilead-ebola-drug-12321120,24/01/2020 11:38,Channel News Asia,auto
112,China confirms second Wuhan virus death outside of epicentre,https://www.channelnewsasia.com/news/asia/wuhan-virus-china-death-outbreak-12322094,24/01/2020 12:32,Channel News Asia,auto
113,"Singapore's land transport operators, ride-hailing services respond to Wuhan virus threat",https://www.channelnewsasia.com/news/singapore/wuhan-virus-transport-comfortdelgro-cabbies-bus-prepared-12321552,24/01/2020 12:46,Channel News Asia,auto
114,"N95, surgical masks run out at retail outlets; MOH assures public there is enough stock",https://www.channelnewsasia.com/news/singapore/wuhan-virus-n95-surgical-masks-run-out-at-retail-outlets-12323040,24/01/2020 13:59,Channel News Asia,auto
115,Shanghai Disneyland closes over Wuhan virus concerns,https://www.channelnewsasia.com/news/asia/wuhan-virus-shanghai-disneyland-china-12323764,24/01/2020 14:45,Channel News Asia,auto
116,Two more people test positive for Wuhan virus in Singapore; total of 3 confirmed cases: MOH,https://www.channelnewsasia.com/news/singapore/wuhan-virus-pneumonia-cases-outbreak-singapore-confirmed-cases-12319272,24/01/2020 15:08,Channel News Asia,auto
117,Hospitals in China's virus epicentre launch public appeals for supplies,https://www.channelnewsasia.com/news/asia/wuhan-virus-hospitals-public-appeals-supplies-12323936,24/01/2020 15:22,Channel News Asia,auto
118,Wuhan virus outbreak: At a glance,https://www.channelnewsasia.com/news/asia/wuhan-virus-outbreak-at-a-glance-12323338,24/01/2020 15:26,Channel News Asia,auto
119,"Patients' travel history, dedicated isolation areas: GPs take measures in wake of Wuhan virus",https://www.channelnewsasia.com/news/singapore/gps-doctor-clinics-wuhan-virus-flu-isolation-travel-history-12322720,24/01/2020 16:01,Channel News Asia,auto
120,Chinese tourist who evaded health checks in France claims to have no symptoms of Wuhan virus,https://www.channelnewsasia.com/news/world/wuhan-virus-france-tourist-evade-customs-12324556,24/01/2020 17:07,Channel News Asia,auto
121,"Coronavirus cases in Singapore: Trends, clusters and key numbers to watch",https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-confirmed-cases-coronavirus-12324270,24/01/2020 17:17,Channel News Asia,auto
122,"Beijing, Shanghai urge people from virus outbreak areas to stay at home for 14 days",https://www.channelnewsasia.com/news/asia/beijing-shanghai-coronavirus-outbreak-wuhan-stay-home-12325002,24/01/2020 17:49,Channel News Asia,auto
123,"Beijing to close section of Great Wall, other tourist sites",https://www.channelnewsasia.com/news/asia/wuhan-virus-great-wall-closed-tourist-sites-12325070,24/01/2020 17:52,Channel News Asia,auto
124,Wuhan virus in Singapore: What can you do?,https://www.channelnewsasia.com/news/singapore/wuhan-virus-singapore-what-can-you-do-health-advisory-12324632,24/01/2020 17:59,Channel News Asia,auto
125,Wuhan virus: 8 Chinese nationals who were in ‘close contact’ with Singapore’s first case quarantined in JB hotel,https://www.channelnewsasia.com/news/asia/wuhan-virus-8-chinese-nationals-singapore-johor-bahru-malaysia-12325404,24/01/2020 18:49,Channel News Asia,auto
126,"Wuhan virus outbreak: Temperature screening at Tuas Checkpoint a breeze so far, say travellers",https://www.channelnewsasia.com/news/singapore/wuhan-virus-temperature-screening-tuas-checkpoint-12325062,24/01/2020 19:25,Channel News Asia,auto
127,Wuhan virus: What we know about the outbreak so far,https://www.channelnewsasia.com/news/singapore/wuhan-virus-china-spread-outbreak-coronavirus-protection-12325310,24/01/2020 20:09,Channel News Asia,auto
128,"Chinese New Year event organisers, religious authorities announce measures against Wuhan virus",https://www.channelnewsasia.com/news/singapore/wuhan-virus-chinese-new-year-churches-muis-precautions-12325394,24/01/2020 22:06,Channel News Asia,auto
129,Suspected case of Wuhan virus at Eastpoint Mall transferred to hospital as 'part of protocols': MOH,https://www.channelnewsasia.com/news/singapore/wuhan-virus-suspected-case-eastpoint-mall-transferred-moh-12326682,24/01/2020 22:12,Channel News Asia,auto
130,In photos: Asia ramps up defence against Wuhan virus,https://www.channelnewsasia.com/news/asia/photo-gallery-asia-ramps-defence-against-wuhan-virus-security-12326608,24/01/2020 22:42,Channel News Asia,auto
131,"US confirms second case of Wuhan virus, 50 under investigation",https://www.channelnewsasia.com/news/world/wuhan-virus-america-us-chicago-12327788,24/01/2020 23:55,Channel News Asia,auto
132,Nepal reports South Asia's first confirmed case of deadly Wuhan virus,https://www.channelnewsasia.com/news/asia/nepal-reports-south-asia-s-first-confirmed-case-of-deadly-wuhan-12328790,25/01/2020 02:41,Channel News Asia,auto
