Title,Source Link,Time of the post,Source Name
WHO declares novel Wuhan coronavirus as a public health emergency of international concern,https://www.theonlinecitizen.com/2020/01/31/who-declares-novel-wuhan-coronavirus-as-a-public-health-emergency-of-international-concern/,2020-01-31,The Online Citizen
Suspected coronavirus case at Tiong Bahru Plaza baby clinic tests negative,https://www.theonlinecitizen.com/2020/01/30/tiong-bahru-plaza-management-to-ramp-up-precautionary-measures-following-suspected-coronavirus-case/,2020-01-31,The Online Citizen
New union of healthcare workers urges Hong Kong government to seal off border with China with industrial action threat,https://www.theonlinecitizen.com/2020/01/31/new-union-of-healthcare-workers-urges-hong-kong-government-to-seal-off-border-with-china-with-industrial-action-threat/,2020-01-31,The Online Citizen
Letter to PM Lee: Govt should have barred travellers from Hubei from entering Singapore earlier; urges complete ban of China nationals,https://www.theonlinecitizen.com/2020/01/31/letter-to-pm-lee-govt-should-have-barred-travellers-from-hubei-from-entering-singapore-earlier-urges-complete-ban-of-china-nationals/,2020-01-31,The Online Citizen
WHO revises Wuhan virus threat as high global health risk; comes under fire for incorrect assessment,https://www.theonlinecitizen.com/2020/01/30/who-revises-wuhan-virus-threat-as-high-global-health-risk-comes-under-fire-for-incorrect-assessment/,2020-01-31,The Online Citizen
Deen Express asked to explain high masks prices; MTI to take action against profiteers,https://www.theonlinecitizen.com/2020/01/31/deen-express-asked-to-explain-high-masks-prices-mti-to-take-action-against-profiteers/,2020-01-31,The Online Citizen
SAF to pack 200K masks each day for public but Chan warns not to open immediately,https://www.theonlinecitizen.com/2020/01/31/saf-to-pack-200k-masks-each-day-for-public-but-chan-warns-not-to-open-immediately/,2020-01-31,The Online Citizen
Singapore Government: No need to wear mask if you are well,https://www.theonlinecitizen.com/2020/01/31/singapore-government-no-need-to-wear-mask-if-you-are-well/,2020-01-31,The Online Citizen
"Stars raise $9,000 for Chiam See Tong Sports Fund",https://www.theonlinecitizen.com/2020/01/31/stars-raise-9000-for-chiam-see-tong-sports-fund/,2020-01-31,The Online Citizen
Countries ban China arrivals as virus death toll hits 213,https://www.theonlinecitizen.com/2020/01/31/countries-ban-china-arrivals-as-virus-death-toll-hits-213/,2020-01-31,The Online Citizen
